Product Name,Product Price,Review
"Mivi SuperPods Opera earbuds [Flagship Launch], Hi-res ...",1499,4.8
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
boAt Airdopes 383 Bluetooth,1399,3.9
"Boult Z40 Gaming with 60H Battery, App Support, Dual Pa...",1199,4.1
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4.0
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",599,4.0
"boAt Nirvana Ivy w/ 360 Spatial Audio, Dynamic Head Tra...",2999,4.2
"HOPPUP Predator Xo1 Gaming Earbuds with 50H Playtime,13...",699,4.1
"Noise Pure Pods with AirWave technology, 80 Hours Playt...",2499,3.8
"JBL Vibe Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...",2299,3.8
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",799,4.0
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"Mivi SuperPods Opera earbuds [Flagship Launch], Hi-res ...",1499,4.8
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"Bose SPORT EARBUDS,WW Bluetooth",9990,4.1
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",699,4.0
"truke Clarity 5 V2 6Mics Adv.ENC & Dual Connectivity, 8...",899,4.0
"truke Buds Liberty OWS with 360SpatialAudio, 60H Playti...",1499,4.1
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",749,4.0
boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,1398,4.1
HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
"TRIGGR Apex S1 with Dual Pairing, 100H Battery, Quad Mi...",799,4.0
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,699,4.0
"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...",899,4.1
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...",1199,4.1
"JBL Vibe Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...",2299,3.8
LG TONE Free HBS-FN4 with British Meridian Sound & Nois...,2499,3.7
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4.0
